"";"geo";"time";"B1G__CLV15_MNAC";"B1G__CP_MEUR";"B1G__CP_MNAC";"D1__CP_MEUR";"D1__CP_MNAC";"D11__CP_MEUR";"D11__CP_MNAC";"D12__CP_MEUR";"D12__CP_MNAC";"EMP_DC__THS_HW";"EMP_DC__THS_PER";"SAL_DC__THS_HW";"SAL_DC__THS_PER";"nace0";"nulc_va";"nulc_va_eur";"nulc_aper_va";"nulc_aper_va_eur";"nulc_hw_va";"nulc_hw_va_eur";"rulc_aper_va";"rulc_hw_va";"emp_ind";"lp_ind";"d1_per_ind";"va_ind";"nulc_va_rel_ecfin13";"nulc_va_eur_rel_ecfin13";"nulc_aper_va_rel_ecfin13";"nulc_aper_va_eur_rel_ecfin13";"nulc_hw_va_rel_ecfin13";"nulc_hw_va_eur_rel_ecfin13";"rulc_aper_va_rel_ecfin13";"rulc_hw_va_rel_ecfin13";"emp_ind_rel_ecfin13";"lp_ind_rel_ecfin13";"d1_per_ind_rel_ecfin13";"va_ind_rel_ecfin13"
"1";"AT";1996-01-01;53775,1;41656,5;40233,9;23478,2;22676,4;19259,8;18602,1;4218,4;4074,3;1608126;3595,06;1278206;3078,87;"total";88,0975973889358;91,2125827299268;88,4867883854422;91,6155348763953;89,8585876828967;93,0358387282189;107,284990053241;108,948335629388;87,7278262163949;84,543896136689;74,8129290508513;74,1655443589123;105,008535093695;106,3839764176;104,617851463353;105,988097666339;NA;NA;104,682546230983;NA;98,2295135542082;95,4168246675837;99,8255522742353;93,7251023474465
"2";"AT";1996-01-01;8955;8182,3;7902,8;5228;5049,5;4309,9;4162,7;918,1;886,8;282464;657,62;270980;637,04;"manu";106,912850975018;110,692223962253;106,979093450103;110,760808111128;106,781606323735;110,556339807998;116,498543526305;116,285771135482;107,473565510141;65,9134379192742;70,5552187774959;70,8304084316265;106,602765120432;107,995688532021;106,482013620866;107,873332292891;NA;NA;110,865203136064;NA;93,5893551620003;93,98057919337;100,089440723905;87,9433016130839
"3";"AT";1996-04-01;54305,6;41682,3;40696,2;23267,7;22717,2;19056;18605,1;4211,7;4112,1;1623038;3597,14;1282746;3083,62;"total";87,3939496468624;89,5117445018885;87,6955248049324;89,8206276523394;89,6490492923755;91,8214913906734;106,154797668366;108,519644616167;87,7785830545368;85,3285665589289;74,8320855402604;74,8971993680597;104,752064574826;104,924833471667;104,285195512294;104,457117720272;NA;NA;104,415765408829;NA;98,1044891254713;95,435702168564;99,5278214504339;93,6243302427312
"4";"AT";1996-04-01;9023,2;8177,6;7984,1;5134,4;5012,9;4226,2;4126,2;908,2;886,7;279893;656,63;267772;635,96;"manu";105,335699087559;107,888769653327;105,421015301203;107,976153715912;105,497733428759;108,054731296579;114,49823548363;114,58381386923;107,311771723676;66,515559671336;70,1627672618326;71,3698426979623;105,664590560501;105,836826317551;105,524486275393;105,696467260933;NA;NA;109,368971132687;NA;93,7696225973154;94,1031645247316;99,3187774117672;88,2276253294142
"5";"AT";1996-07-01;54432,7;41975,1;40960,7;23423,7;22857,6;19155,1;18692,2;4268,6;4165,4;1635285;3602,01;1299253;3093,53;"total";87,7287484034081;89,901471894552;87,8682734556074;90,0444524771678;89,5195644553991;91,73663997681;105,92440617783;107,915141528081;87,8974223823015;85,4126383373166;75,0533700435438;75,0724931506471;104,532961716505;104,655159424679;103,863705616237;103,985044643178;NA;NA;103,93888103389;NA;98,1559655854549;95,2813954866426;98,9652867679595;93,5219985491225
"6";"AT";1996-07-01;9187,7;8364,8;8162,7;5133,5;5009,5;4220,5;4118,6;913;890,9;278909;656,53;266702;635,97;"manu";103,379564739524;105,938515937788;103,445913268089;106,006506789447;103,588519919528;106,152643378959;111,898249403571;112,054712851749;107,295428916962;67,7385064818617;70,1140768649579;72,6709708037136;103,436513058977;103,553770760279;103,290915314397;103,407982136497;NA;NA;107,109666245298;NA;94,2505519949748;95,0584170888271;98,2034158231395;89,5803334036922
"7";"AT";1996-10-01;54558,8;41764,7;41233;23228;22932,3;18980,4;18738,8;4247,6;4193,6;1642145;3610,66;1300766;3098,28;"total";87,812023903205;88,9443139686663;88,0277285219024;89,1627999854681;89,8757680767391;91,0346690426384;105,660049308297;107,878377881938;88,1085025024585;85,405411436597;75,1832079197221;75,2464077531985;104,842087475301;104,396064907238;104,272824279461;103,829147274233;NA;NA;104,071956341323;NA;98,3525402779374;94,6008284501873;98,6454461941874;93,039954933292
"8";"AT";1996-10-01;9136,3;8263,3;8158,1;5070,8;5006,3;4164,9;4111,9;905,9;894,4;278867;655,51;266440;635,05;"manu";103,894759878223;105,233315700316;103,950297639213;105,289568996848;104,191434117655;105,533812221362;111,877833524255;112,139566127488;107,128732288483;67,4643619131696;70,1707986698852;72,2644177056247;104,53876208808;104,090513687538;104,381586256737;103,933985847339;NA;NA;107,644746044;NA;94,4756673295395;93,5799861522519;97,6968945219891;88,3977352959636
"9";"AT";1997-01-01;54806,1;41504,8;41407,6;23000,2;22946,4;18786,3;18742,3;4213,9;4204;1660397;3618,19;1312891;3107,29;"total";87,4695401023376;87,6746206926483;87,612485677896;87,8179014175968;89,6842982253177;89,8945715250302;105,192864000221;107,680526577999;88,2922520174623;85,6139834055131;75,0112968262225;75,5874789761243;103,872937546244;103,261301663359;103,202624387608;102,594860684014;NA;NA;102,904028541644;NA;98,6110840469812;95,03046184157;98,0763410997749;93,7081066357624
"10";"AT";1997-01-01;9245,1;8290;8270,6;5023,7;5012;4123,4;4113,8;900,3;898,2;279717;653,51;266831;632,64;"manu";102,788984062106;103,028934403991;102,920729550258;103,160987438474;103,245189095236;103,486204400985;110,564176486012;110,914914439439;106,801876154211;68,4766904655091;70,5183080550476;73,1249814618906;103,317890770727;102,706136190591;103,225875050359;102,614639840529;NA;NA;105,880493412134;NA;94,070610990388;94,3091208232602;97,3678905338093;88,7043081649051
